,full_text,created_at,full_tweet,tweet_tokens
0,TOLONG FYP TIKTOD KU ISIE VIDEO MAHFUD MD VS DPR TERUS 😭😭,2023-04-03 06:01:36+00:00,tolong fyp tiktod ku isie video mahfud md vs dpr terus,"['tolong', 'fyp', 'tiktok', 'ku', 'isi', 'video', 'mahfud', 'mahfud', 'versus', 'drp']"
1,"@asumsico Semalem baru liat debat antara DPR vs prof. Mahfud MD, prof mahfud berkata jika RAT tersangka tapi di sanggah oleh DPR blm ada pernyataan tersangka, tidak mungkin prof mahfud berbicara tanpa data. My mind proff sudah tau jika RAT tersangka tapi blm di publish media",2023-03-30 08:55:19+00:00,semalem baru liat debat antara dpr vs prof mahfud md prof mahfud berkata jika rat tersangka tapi di sanggah oleh dpr blm ada pernyataan tersangka tidak mungkin prof mahfud berbicara tanpa data my mind proff sudah tau jika rat tersangka tapi blm di publish media,"['semalem', 'liat', 'debat', 'drp', 'versus', 'prof', 'mahfud', 'mahfud', 'prof', 'mahfud', 'rat', 'sangka', 'sanggah', 'drp', 'belum', 'nyata', 'sangka', 'prof', 'mahfud', 'bicara', 'data', 'my', 'mind', 'profesor', 'rat', 'sangka', 'belum', 'publish', 'media']"
2,"Nantang ngebacot. 
Saya perkirakan 349T takan terungkap.

Ngambang lalu lenyap. https://t.co/GpJpiio3yR",2023-03-27 11:50:49+00:00,nantang ngebacot saya perkirakan  takan terungkap ngambang lalu lenyap,"['tantang', 'bacot', 'kira', 'tidak', 'ungkap', 'ambang', 'lenyap']"
3,"Seru euy DPR VS MAHFUD MD 
https://t.co/JFbcDERCPY",2023-03-29 19:10:01+00:00,seru euy dpr vs mahfud md,"['seru', 'euy', 'drp', 'versus', 'mahfud', 'mahfud']"
4,Panas Mahfud MD Vs Anggota DPR | Nasib Polwan Cantik Diduga 'Flexing' https://t.co/DSL7UXc3hI,2023-03-29 04:18:31+00:00,panas mahfud md vs anggota dpr nasib polwan cantik diduga flexing,"['panas', 'mahfud', 'mahfud', 'versus', 'anggota', 'drp', 'nasib', 'polwan', 'cantik', 'duga', 'flexing']"
5,"DPR vs Mahfud,  Mahfud MD menang Telak 0 - 7
Terkesan Ada upaya DPR untuk menghalangi penegakan hukum 
🤔😳😬😡👊🤜💪💪👍👍💚💚💚💚🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 https://t.co/bgx2Ppic1V",2023-03-29 14:49:16+00:00,dpr vs mahfud mahfud md menang telak terkesan ada upaya dpr untuk menghalangi penegakan hukum,"['drp', 'versus', 'mahfud', 'mahfud', 'mahfud', 'menang', 'telak', 'kesan', 'upaya', 'drp', 'halang', 'tega', 'hukum']"
6,"Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok?
https://t.co/w7HpM6mI4G",2023-03-27 22:45:39+00:00,mahfud md vs komisi iii dpr soal transaksi siluman rp  kemenkeu siapa keok,"['mahfud', 'mahfud', 'versus', 'komisi', 'iii', 'drp', 'transaksi', 'siluman', 'rupiah', 'kemenkeu', 'keok']"
7,"mahfud md vs dpr
seru !",2023-03-29 10:11:37+00:00,mahfud md vs dpr seru,"['mahfud', 'mahfud', 'versus', 'drp', 'seru']"
8,"ADU MEKANIK KASUS RP. 349 TRILIUN... DPR VS MAHFUD MD

#BubarkanDPRPercepatPemilu 
#BubarkanDPRPercepatPemilu 
🆘🆗 https://t.co/zEJd7YfgCH",2023-03-29 06:15:13+00:00,adu mekanik kasus rp triliun dpr vs mahfud md,"['adu', 'mekanik', 'rupiah', 'triliun', 'drp', 'versus', 'mahfud', 'mahfud']"
9,"Yuk gelar tikar bentar lagi mulai Mahfud MD vs DPR ✍️

#DukungMahfudMD https://t.co/NS20X9RzZd",2023-03-29 07:16:33+00:00,yuk gelar tikar bentar lagi mulai mahfud md vs dpr,"['yuk', 'gelar', 'tikar', 'bentar', 'mahfud', 'mahfud', 'versus', 'drp']"
10,@grace_nat @mohmahfudmd Coba buat pooling.. Mahfud MD vs DPR komisi 3 (arteria/benny/johan). Saya yakin rakyat lbh banyak yg memilih Mahfud MD drpd yg ngaku2nya wakil rakyat..,2023-03-30 02:13:04+00:00,nat coba buat pooling mahfud md vs dpr komisi arteriabennyjohan saya yakin rakyat lbh banyak yg memilih mahfud md drpd yg ngakunya wakil rakyat,"['nat', 'coba', 'pooling', 'mahfud', 'mahfud', 'versus', 'drp', 'komisi', 'arteria', 'rakyat', 'lbh', 'pilih', 'mahfud', 'mahfud', 'drpd', 'ngakunya', 'wakil', 'rakyat']"
11,"ADU MEKANIK KASUS 349 T DPR VS MAHFUD MD

#BersamaMMDBasmiKorupsi
#BersamaMMDBasmiKorupsi
🆘🆗 https://t.co/sHOXuL0v7j",2023-03-30 05:43:08+00:00,adu mekanik kasus  dpr vs mahfud md,"['adu', 'mekanik', 'drp', 'versus', 'mahfud', 'mahfud']"
