,sentimen,Tweet,tweet_tokens
5328.0,0.0,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu ,"['doa', 'rezeki', 'putus', 'sungguh', 'beri']"
5329.0,0.0,makasih loh ntar kita bagi hasil aku sisanya buat kamu,"['makasih', 'hasil', 'sisa']"
5330.0,0.0,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya,"['satu', 'nomor', 'satu']"
5331.0,0.0, dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla,"['dont', 'know', 'why', 'but', 'these', 'zikir', 'bantu', 'pon', 'hasil', 'ambil', 'usaha', 'doa', 'insha', 'allah']"
5332.0,0.0,aah kamu aja mas aku lebih suka diayomi,"['mas', 'suka', 'ayom']"
5333.0,0.0,mau bantu aku nabung,"['bantu', 'nabung']"
5334.0,0.0,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya,"['peduli', 'hidup', 'pilih', 'sisi', 'baik', 'sisi', 'buruk']"
5335.0,0.0,aku dah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha,"['sudah', 'pengantin', 'gelak', 'natural', 'hahaha']"
5336.0,0.0,cara nak mintak maaf ada aku minta maaf aku mengaku salah aku apa yang boleh aku buat untuk betulkan ba,"['minta', 'maaf', 'maaf', 'aku', 'salah', 'betul', 'ba']"
5337.0,0.0,yuk netweetjen dibantu,"['yuk', 'netizen', 'bantu']"
5338.0,0.0,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka,"['allah', 'tuhan', 'lindung', 'bapa', 'saat', 'jauh']"
5339.0,0.0,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo,"['giveaway', 'umur', 'tambah', 'bagi', 'rules', 'ucap', 'wish', 'screenshoo']"
5340.0,0.0,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka,"['allah', 'tuhan', 'lindung', 'bapa', 'saat', 'jauh']"
5341.0,0.0,selamat hari jumat buat kamu yg selalu bikin rindu ini kumat,"['selamat', 'jumat', 'rindu', 'kumat']"
5342.0,0.0,diremes di enyot ngedusel dusel di nenen kamu wah mantap,"['remas', 'menghisap', 'tempel', 'tempel', 'nenen', 'mantap']"
5343.0,0.0,hi rakyat ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri ,"['hi', 'rakyat', 'ku', 'akhir', 'postelca', 'give', 'away', 'album', 'love', 'yourself', 'answerealed', 'versi', 'pilihendiri']"
5344.0,0.0,pilih salah satu yang paling kamu nyaman,"['pilih', 'salah', 'nyaman']"
5345.0,0.0,aku sendiri jugaaa yuk barengan,"['jugaaa', 'yuk', 'bareng']"
5346.0,0.0,mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa  like aja mau mutualan boleh bgt doain aku yaa diundi ,"['mini', 'giveaway', 'hubung', 'ultah', 'rezeki', 'pulsa', 'like', 'mutualan', 'banget', 'doain', 'yaa', 'undi']"
5347.0,0.0,mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego,"['mantan', 'brengsek', 'dilupain', 'jadi', 'ingat', 'salah', 'pilih', 'bego', 'bego']"
5348.0,0.0,aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal,"['aryana', 'tolong', 'buka', 'mata', 'pilih', 'syafiq', 'biar', 'sofea', 'bahagia', 'adrian', 'pls', 'laaaaaaaa', 'murung', 'kal']"
5349.0,0.0,buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak,"['buat', 'cita', 'cita', 'bintang', 'langit', 'lupa', 'anak', 'tangga', 'rencana', 'bijak']"
5350.0,0.0,cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm,"['cantik', 'la', 'confess', 'kat', 'crush', 'peluang', 'kena', 'reject', 'tu', 'nipis', 'sel', 'epidermis', 'bawang', 'tang', 'confess', 'hmm']"
5351.0,0.0,cnta kmu ke aku tuh kyk fto albm tau  dbalk ttp aj  brbh sma ky km yg  prnh brbh untk mnjdi yg trbaik untk aku,"['cinta', 'kamu', 'seperti', 'foto', 'album', 'balik', 'tetap', 'saja', 'ubah', 'sma', 'ky', 'km', 'pernah', 'ubah', 'untuk', 'jadi', 'baik', 'untuk']"
5352.0,0.0,ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau,"['indonesia', 'damai', 'pimpin', 'beliau']"
5353.0,0.0,aku nk walk in ajelah senang,"['nk', 'walk', 'in', 'saja', 'senang']"
5354.0,0.0,jadilah seperti aku,[]
